Payee Name,Invoice Date,Invoice #,Vendor ID,Invoice Amount,Account Code ,Dates of service ,Mail Date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Amount Paid, Pymt Received
University 234,7/21/20,NB072120,,$421.00 ,4700-00000,3 Mo Subscription 7/16/2020 to 11/30/2020,7/21/20,,,,$421.00 ,7/27/20
University 234,7/21/20,NB072120A,,"$1,200.00 ",4700-00000,6 Mo Subscription 8/16/2020 to 1/31/2021,7/21/20,,,,"$1,200.00 ",7/27/20
University 235,7/22/20,NB072220,,$750.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,7/22/20,,,,$750.00 ,8/19/20
University 96,7/23/20,NB072320,,"$1,500.00 ",4700-00000,1 yr Subscription 2/29/2020 to 2/28/2021,7/23/20,,,,"$1,500.00 ",8/11/20
University 236,7/23/20,NB072320A,,"$1,222.00 ",4700-00000,3 Mo Subscription 9/1/2020 to 12/8/2020,7/23/20,,,,"$1,222.00 ",8/24/20
University 238,7/23/20,NB072320B,,"$3,500.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,7/23/20,,,,"$3,500.00 ",9/8/20
University 59,7/23/20,NB072320C,,"$4,500.00 ",4700-00000,3 yr Subscription 8/31/2020 to 8/31/2023,7/23/20,,,,"$4,500.00 ",8/31/20
University 237,7/23/20,NB072320D,,"$4,000.00 ",4700-00000,1 yr Subscription 7/24/2020 to 7/31/2021,7/23/20,,,9/9/20,"$4,000.00 ",9/29/20
University 239,7/27/20,NB072720,,"$7,000.00 ",4700-00000,1 yr Subscription 7/26/2020 to 7/31/2021,7/27/20,,,,"$7,000.00 ",8/31/20
University 97,7/29/20,NB072920,,"$6,500.00 ",4700-00000,1 yr Subscription 5/18/2020 to 5/31/2021,7/29/20,,,,"$6,500.00 ",8/31/20
University 240,7/29/20,NB072920A,,"$2,500.00 ",4700-00000,1 yr Subscription 8/17/2020 to 8/31/2021,7/29/20,9/28/20,10/6/20,10/26/20,Follow Up again on 11/10/20,
University 193,7/30/20,NB073020,,"$2,000.00 ",4700-00000,6 Mo Subscription 7/10/2020 to 1/10/2021,7/30/20,,,9/9/20,"$2,000.00 ",9/15/20
University 199,7/30/20,NB073020A,,"$2,300.00 ",4700-00000,1 yr Subscription 7/22/2020 to 7/31/2021,7/30/20,,,,"$2,300.00 ",9/2/20
University 30,7/30/20,NB073020B,,"$1,470.00 ",4700-00000,1 yr Subscription 8/8/2020 to 7/31/2021,7/30/20,9/28/20,,11/3/20,Sent for Pay,
University 241,7/30/20,NB073020C,,"$2,500.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,7/30/20,,,9/9/20,"$2,500.00 ",9/22/20
University 243,7/31/20,NB073120,,$525.00 ,4700-00000,3 Mo Subscription 8/12/2020 to 11/20/2020,7/31/20,,,9/9/20,$525.00 ,9/15/20
University 245,7/31/20,NB073120A,,"$3,000.00 ",4700-00000,1 yr Subscription 9/1/2020 to 8/31/2021,7/31/20,,,,"$3,000.00 ",8/31/20
University 244,7/31/20,NB073120C,,"$2,250.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,7/31/20,,,9/9/20,"$2,250.00 ",9/28/20
University 248,8/3/20,NB080320,,$425.00 ,4700-00000,3 Mo Subscription 8/24/2020 to 11/24/2020,8/3/20,,,9/9/20,$425.00 ,9/15/20
University 247,8/3/20,NB080320A,,"$2,600.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,8/3/20,,9/28/20,10/13/20,"$2,600.00 ",10/27/20
University 246,8/3/20,NB080320B,,"$2,000.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,8/3/20,,,,"$2,000.00 ",9/8/20
University 249,8/3/20,NB080320C,,"$7,560.00 ",4700-00000,3 yr Subscription 8/7/2020 to 7/31/2023,8/3/20,,,,"$7,560.00 ",9/8/20
University 250,8/5/20,NB080520,,"$3,500.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,8/5/20,,,,"$3,500.00 ",8/21/20
University 96,8/5/20,NB080520A,,"$1,500.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,8/5/20,,,,"$1,500.00 ",9/8/20
University 251,8/6/20,NB080620,,"$1,750.00 ",4700-00000,6 Mo Subscription 7/21/2020 to 1/21/2021,8/6/20,,,,"$1,750.00 ",8/19/20
University 246,8/6/20,NB080620A,,"$3,700.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,8/6/20,,,,"$3,700.00 ",9/8/20
University 134,8/6/20,NB080620B,,"$1,000.00 ",4700-00000,6 Mo Subscription 9/15/2020 to 9/30/2021,8/6/20,,,9/9/20,"$1,000.00 ",9/22/20
University 252,8/7/20,NB080720,,$550.00 ,4700-00000,6 Mo Subscription 9/8/2020 to 12/8/2021,8/7/20,,,,$550.00 ,8/24/20
University 141,8/7/20,NB080720A,,"$2,600.00 ",4700-00000,1 yr Subscription 7/31/2020 to 7/31/2021,8/7/20,,,9/9/20,"$2,600.00 ",8/25/20
University 72,8/10/20,NB081020,,"$1,150.00 ",4700-00000,1 yr Subscription 12/1/2019 to 11/30/2020,8/10/20,10/6/20,10/26/20,11/3/20,Follow Up email sent,
University 254,8/10/20,NB081020A,,"$2,100.00 ",4700-00000,1 yr Subscription 8/13/2020 to 7/31/2021,8/10/20,,,,"$2,100.00 ",9/22/20
University 253,8/10/20,NB081020B,,"$2,000.00 ",4700-00000,1 yr Subscription 8/7/2020 to 7/31/2021,8/10/20,,,9/28/20,"$1,999.51 ",10/5/20
University 180,8/10/20,NB081020C,,$875.00 ,4700-00000,3 Mo Subscription 9/30/2020 to 12/31/2020,8/10/20,,,,$875.00 ,8/19/20
University 31,8/11/20,NB081120,,$738.01 ,4700-00000,3 Mo Subscription 8/17/2020 to 11/17/2020,8/11/20,,,,$716.31 ,8/24/20
University 255,8/11/20,NB081120A,,"$3,500.00 ",4700-00000,1 yr Subscription 8/12/2020 to 7/31/2021,8/11/20,,,9/28/20,"$3,500.00 ",9/28/20
University 243,8/11/20,NB081120B,,$237.50 ,4700-00000,3 Mo Subscription 8/12/2020 to 11/20/2020,8/11/20,,,,$237.50 ,9/15/20
University 20,8/12/20,NB081220,,"$8,500.00 ",4700-00000,1 yr Subscription 8/17/2020 to 8/31/2021,8/12/20,,,,"$8,500.00 ",8/31/20
University 257,8/12/20,NB081220A,,$562.00 ,4700-00000,3 Mo Subscription 8/12/2020 to 11/12/2020,8/12/20,,,,$562.00 ,8/31/20
University 258,8/12/20,NB081220B,,"$6,000.00 ",4700-00000,1 yr Subscription 8/10/2020 to 7/31/2021,8/12/20,,,,"$6,000.00 ",8/24/20
University 256,8/12/20,NB081220C,,"$2,600.00 ",4700-00000,1 yr Subscription 8/4/2020 to 7/31/2021,8/12/20,,,,"$2,600.00 ",9/22/20
University 96,8/13/20,NB081320,,"$8,000.00 ",4700-00000,1 yr Subscription 2/29/2020 to 2/28/2021,8/13/20,,,,"$8,000.00 ",9/15/20
University 259,8/13/20,NB081320A,,"$1,800.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,8/13/20,,,,"$1,800.00 ",8/31/20
University 264,8/13/20,NB081320B,,$550.00 ,4700-00000,3 Mo Subscription 8/24/2020 to 12/7/2020,8/13/20,,,9/28/20,$549.86 ,
University 32,8/13/20,NB081320C,,"$2,350.00 ",4700-00000,1 yr Subscription 8/13/2020 to 7/31/2021,8/13/20,,,,"$2,350.00 ",9/8/20
University 261,8/13/20,NB081320D,,"$1,375.00 ",4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,8/13/20,,,,"$1,375.00 ",9/28/20
University 159,8/13/20,NB081320E,,"$11,350.00 ",4700-00000,1 yr Subscription 8/17/2020 to 8/31/2021,8/13/20,,,,"$11,350.00 ",9/15/20
University 12,8/13/20,NB081320F,,$750.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,8/13/20,,,,$750.00 ,9/2/20
University 265,8/13/20,NB081320G,,$750.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 11/30/2020,8/13/20,,,9/28/20,$750.00 ,9/30/20
University 263,8/13/20,NB081320H,,$750.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,8/13/20,,,,$750.00 ,9/15/20
University 271,8/17/20,NB081720,,"$1,610.00 ",4700-00000,6 Mo Subscription 19/8/2020 to 19/2/2021,8/17/20,,,,"$1,610.00 ",8/31/20
University 269,8/17/20,NB081720A,,"$2,300.00 ",4700-00000,1 yr Subscription 9/1/2020 to 8/31/2021,8/17/20,,9/28/20,10/6/20,"$2,300.00 ",10/9/20
University 272,8/17/20,NB081720B,,"$2,000.00 ",4700-00000,1 yr Subscription 8/24/2020 to 8/31/2021,8/17/20,,,,"$2,000.00 ",9/8/20
University 266,8/17/20,NB081720C,,"$1,500.00 ",4700-00000,6 Mo Subscription 17/8/2020 to 2/17/2021,8/17/20,,,,"$1,500.00 ",9/8/20
University 268,8/17/20,NB081720D,,"$2,500.00 ",4700-00000,1 yr Subscription 8/5/2020 to 7/31/2021,8/17/20,,,,"$2,500.00 ",9/8/20
University 270,8/17/20,NB081720E,,"$4,300.00 ",4700-00000,1 yr Subscription 8/24/2020 to 8/31/2021,8/17/20,,,9/28/20,"$4,300.00 ",10/9/20
University 267,8/17/20,NB081720F,,$450.00 ,4700-00000,6 Mo Subscription 9/1/2020 to 1/31/2021,8/17/20,,,,$450.00 ,9/8/20
University 167,8/19/20,NB081920,,"$2,510.00 ",4700-00000,1 yr Subscription 8/18/2020 to 8/31/2021,8/19/20,9/29/20,,10/6/20,"$2,510.00 ",10/21/20
University 273,8/19/20,NB081920A,,$575.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,8/19/20,,,,$575.00 ,9/8/20
University 77,8/19/20,NB081920B,,"$12,600.00 ",4700-00000,3 yr Subscription 8/31/2020 to 8/31/2023,8/19/20,,,,"$12,600.00 ",8/31/20
University 275,8/19/20,NB081920C,,"$1,280.00 ",4700-00000,6 Mo Subscription 8/19/2020 to 2/19/2021,8/19/20,,,,"$1,280.00 ",9/28/20
University 276,8/19/20,NB081920D,,"$1,680.00 ",4700-00000,6 Mo Subscription 8/24/2020 to 2/28/2021,8/19/20,,,,"$1,680.00 ",9/22/20
University 274,8/19/20,NB081920E,,"$1,500.00 ",4700-00000,6 Mo Subscription 9/1/2020 to 3/31/2021,8/19/20,,,,"$1,500.00 ",9/2/20
University 176,8/20/20,NB082020,,"$3,030.00 ",4700-00000,1 yr Subscription 8/19/2020 to 8/31/2021,8/20/20,,,,"$3,030.00 ",9/15/20
University 130,8/20/20,NB082020B,,"$1,750.00 ",4700-00000,6 Mo Subscription 7/6/2020 to 1/31/2021,8/20/20,9/29/20,,10/6/20,"$1,750.00 ",10/21/20
University 182,8/20/20,NB082020A,,"$2,500.00 ",4700-00000,1 yr Subscription 8/17/2020 to 8/31/2021,8/20/20,9/29/20,10/6/20,10/26/20,"$2,500.00 ",11/3/20
University 278,8/20/20,NB082020C,,"$2,500.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,8/20/20,9/29/20,,10/6/20,"$2,500.00 ",10/21/20
University 277,8/20/20,NB082020D,,"$3,300.00 ",4700-00000,1 yr Subscription 8/17/2020 to 8/31/2021,8/20/20,9/29/20,,,"$3,300.00 ",10/2/20
University 281,8/24/20,NB082420,,"$5,000.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,8/24/20,9/29/20,,,Sent for Pay,
University 279,8/24/20,NB082420A,,"$4,000.00 ",4700-00000,1 yr Subscription 8/20/2020 to 8/31/2021,8/24/20,,,,"$4,000.00 ",9/28/20
University 280,8/24/20,NB082420B,,$562.00 ,4700-00000,1 yr Subscription 9/14/2020 to 12/14/2020,8/24/20,,,,$562.00 ,9/22/20
University 153,8/24/20,NB082420D,,"$2,500.00 ",4700-00000,1 yr Subscription 3/20/2020 to 3/31/2021,8/24/20,,,,"$2,500.00 ",9/15/20
University 232,8/25/20,NB082520,,$950.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,8/25/20,,,,$950.00 ,9/22/20
University 288,8/25/20,NB082520A,,"$4,500.00 ",4700-00000,1 yr Subscription 8/25/2020 to 8/31/2021,8/25/20,9/29/20,10/13/20,10/26/20,Follow Up email sent,
University 72,8/25/20,NB082520B,,$150.00 ,4700-00000,1 yr Subscription 12/1/2019 to 11/30/2020,8/25/20,,,,$149.86 ,9/25/20
University 285,8/25/20,NB082520C,,"$1,000.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,8/25/20,9/29/20,,10/6/20,"$1,000.00 ",10/21/20
University 34,8/25/20,NB082520D,,"$3,500.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,8/25/20,,,,"$3,500.00 ",9/22/20
University 205,8/25/20,NB082520E,,$400.00 ,4700-00000,1 yr Subscription 5/4/2020 to 4/30/2021,8/25/20,,,,$400.00 ,9/15/20
University 153,8/25/20,NB082520F,,"$2,500.00 ",4700-00000,1 yr Subscription 3/20/2020 to 3/31/2021,8/25/20,9/29/20,,10/13/20,"$2,500.00 ",9/15/20
University 289,8/25/20,NB082520G,,"$1,250.00 ",4700-00000,6 Mo Subscription 9/4/2020 to 1/31/2021,8/25/20,9/29/20,,,"$1,250.00 ",10/2/20
University 282,8/25/20,NB082520H,,$437.00 ,4700-00000,3 Mo Subscription 9/15/2020 to 12/15/2020,8/25/20,9/29/20,,,$437.00 ,10/5/20
University 165,8/25/20,NB082520I,,"$3,000.00 ",4700-00000,1 yr Subscription 8/24/2020 to 8/31/2021,8/25/20,,,,"$3,000.00 ",9/28/20
University 283,8/25/20,NB082520J,,"$1,650.00 ",4700-00000,1 yr Subscription 8/21/2020 to 8/31/2021,8/25/20,,,,"$1,650.00 ",9/22/20
University 193,8/25/20,NB082520K,,"$1,750.00 ",4700-00000,6 Mo Subscription 7/10/2020 to 1/10/2021,8/25/20,,,,"$1,750.00 ",9/8/20
University 286,8/25/20,NB082520L,,$800.00 ,4700-00000,3 Mo Subscription 8/25/2020 to 11/25/2020,8/25/20,9/29/20,,,$799.80 ,10/2/20
University 260,8/25/20,NB082520M,,"$1,700.00 ",4700-00000,1 yr Subscription 8/13/2020 to 7/31/2021,8/25/20,,,,"$1,700.00 ",9/8/20
University 208,8/25/20,NB082520N,,"$4,000.00 ",4700-00000,1 yr Subscription 5/4/2020 to 4/30/2021,8/25/20,,,,"$4,000.00 ",9/22/20
University 255,8/25/20,NB082520O,,$500.00 ,4700-00000,1 yr Subscription 8/12/2020 to 7/31/2021,8/25/20,,,,$500.00 ,9/28/20
University 284,8/25/20,NB082520P,,$565.00 ,4700-00000,3 Mo Subscription 8/25/2020 to 12/7/2020,8/25/20,9/29/20,,,$565.00 ,9/15/20
University 258,8/25/20,NB082520Q,,"$2,500.00 ",4700-00000,1 yr Subscription 8/10/2020 to 7/31/2021,8/25/20,,,,"$2,500.00 ",9/8/20
University 163,8/25/20,NB082520R,,"$6,500.00 ",4700-00000,1 yr Subscription 7/21/2020 to 7/31/2021,8/25/20,,,,"$6,500.00 ",8/31/20
University 163,8/25/20,NB082520S,,"$2,500.00 ",4700-00000,1 yr Subscription 7/21/2020 to 7/31/2021,8/25/20,,,,"$2,500.00 ",9/4/20
University 287,8/25/20,NB082520T,,"$2,070.00 ",4700-00000,1 yr Subscription 8/25/2020 to 8/31/2021,8/25/20,,,,"$2,070.00 ",9/15/20
University 290,8/28/20,NB082820,,"$6,600.00 ",4700-00000,3 yr Subscription 9/1/2020 to 8/31/2023,8/28/20,9/29/20,,10/13/20,Follow Up email sent,
University 18,8/28/20,NB082820A,,"$5,100.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,8/28/20,,,,"$5,100.00 ",9/15/20
University 178,8/28/20,NB082820B,,"$4,000.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,8/28/20,,,,"$4,000.00 ",9/22/20
University 292,8/28/20,NB082820C,,$550.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 11/30/2020,8/28/20,9/29/20,,,$548.53 ,9/30/20
University 245,9/1/20,NB090120,,"$1,000.00 ",4700-00000,1 yr Subscription 9/1/2020 to 8/31/2021,9/1/20,,,,"$1,000.00 ",10/5/20
University 237,9/1/20,NB090120A,,$500.00 ,4700-00000,1 yr Subscription 7/24/2020 to 7/31/2021,9/1/20,10/8/20,,,$500.00 ,10/14/20
University 296,9/1/20,NB090120B,,$525.00 ,4700-00000,3 Mo Subscription 8/24/2020 to 12/4/2020,9/1/20,,,,$525.00 ,10/2/20
University 166,9/1/20,NB090120C,,$555.00 ,4700-00000,3 Mo Subscription 9/8/2020 to 12/8/2020,9/1/20,,,,$531.94 ,9/2/20
University 174,9/1/20,NB090120D,,"$5,750.00 ",4700-00000,1 yr Subscription 8/21/2020 to 8/31/2021,9/1/20,,,,"$5,750.00 ",9/15/20
University 299,9/1/20,NB090120E,,"$3,000.00 ",4700-00000,1 yr Subscription 8/21/2020 to 8/31/2021,9/1/20,,,,"$3,000.00 ",9/22/20
University 295,9/1/20,NB090120F,,"$1,710.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/1/20,,,,"$1,705.48 ",9/2/20
University 294,9/1/20,NB090120G,,"$5,000.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/1/20,,,,"$5,000.00 ",10/5/20
University 306,9/1/20,NB090120H,,$625.00 ,4700-00000,3 Mo Subscription 10/1/2020 to 12/31/2020,9/1/20,,,,$625.00 ,9/22/20
University 307,9/1/20,NB090120I,,"$5,500.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/1/20,10/8/20,,,"$5,500.00 ",10/17/20
University 301,9/1/20,NB090120J,,"$2,250.00 ",4700-00000,1 yr Subscription 9/1/2020 to 8/31/2021,9/1/20,,,,"$2,244.05 ",9/3/20
University 302,9/1/20,NB090120K,,$400.00 ,4700-00000,3 Mo Subscription 8/28/2020 to 11/28/2020,9/1/20,10/8/20,,,Sent for Pay follow up on 10/22/20,
University 303,9/1/20,NB090120L,,"$2,100.00 ",4700-00000,1 yr Subscription 8/27/2020 to 8/31/2021,9/1/20,,,,"$2,100.00 ",9/8/20
University 305,9/1/20,NB090120M,,$625.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/31/2020,9/1/20,,,,$625.00 ,9/28/20
University 293,9/1/20,NB090120N,,"$4,500.00 ",4700-00000,1 yr Subscription 8/17/2020 to 8/31/2021,9/1/20,10/8/20,,,Sent for Pay follow up on 10/22/20,
University 304,9/1/20,NB090120O,,"$1,825.00 ",4700-00000,3 Mo Subscription 9/11/2020 to 12/11/2020,9/1/20,,,,"$1,825.00 ",9/28/20
University 298,9/1/20,NB090120P,,"$3,700.00 ",4700-00000,1 yr Subscription 8/24/2020 to 8/31/2020,9/1/20,,,,"$3,700.00 ",9/22/20
University 128,9/1/20,NB090120Q,,"$10,800.00 ",4700-00000,1 yr Subscription 8/20/2020 to 8/31/2021,9/1/20,,,,"$10,800.00 ",9/16/20
University 297,9/1/20,NB090120R,,"$1,000.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/1/20,,,,"$1,000.00 ",9/10/20
University 297,9/1/20,NB090120S,,$500.00 ,4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/1/20,,,,$500.00 ,9/10/20
University 249,9/8/20,NB090820,,"$1,500.00 ",4700-00000,3 yr Subscription 8/7/2020 to 7/31/2023,9/8/20,,,,"$1,500.00 ",9/28/20
University 13,9/8/20,NB090820A,,"$4,500.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,9/8/20,,,,,
University 311,9/8/20,NB090820B,,"$1,976.30 ",4700-00000,1 yr Subscription 8/21/2020 to 8/31/2021,9/8/20,,,,"$1,894.97 ",9/10/20
University 14,9/8/20,NB090820C,,"$6,000.00 ",4700-00000,1 yr Subscription 9/8/2020 to 8/31/2021,9/8/20,,,,"$6,000.00 ",10/6/20
University 313,9/8/20,NB090820D,,"$1,976.30 ",4700-00000,1 yr Subscription 9/1/2020 to 8/31/2021,9/8/20,,,,"$1,894.97 ",9/11/20
University 309,9/8/20,NB090820E,,"$2,300.00 ",4700-00000,1 yr Subscription 9/1/2020 to 8/31/2021,9/8/20,,,,"$2,300.00 ",10/2/20
University 320,9/8/20,NB090820F,,"$5,090.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/8/20,,,11/3/20,Follow Up Email Sent,
University 310,9/8/20,NB090820G,,"$2,000.00 ",4700-00000,1 yr Subscription 9/4/2020 to 8/31/2021,9/8/20,,,,"$2,000.00 ",10/9/20
University 308,9/8/20,NB090820H,,$800.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 11/30/2020,9/8/20,,,,$800.00 ,9/25/20
University 319,9/8/20,NB090820I,,"$2,480.00 ",4700-00000,1 yr Subscription 9/4/2020 to 8/31/2021,9/8/20,,,11/3/20,Follow Up Email Sent,
University 202,9/8/20,NB090820J,,"$3,000.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/8/20,,,,"$3,000.00 ",9/28/20
University 323,9/8/20,NB090820K,,$625.00 ,4700-00000,3 Mo Subscription 8/31/2020 to 11/30/2020,9/8/20,,,,$625.00 ,9/22/20
University 183,9/8/20,NB090820M,,"$1,000.00 ",4700-00000,6 Mo Subscription 9/1/2020 to 2/28/2021,9/8/20,,,,"$1,000.00 ",10/2/20
University 316,9/8/20,NB090820N,,"$1,250.00 ",4700-00000,6 Mo Subscription 9/1/2020 to 2/28/2021,9/8/20,10/14/20,,,"$1,250.00 ",11/3/20
University 314,9/8/20,NB090820O,,"$2,000.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/8/20,,,,"$2,000.00 ",10/2/20
University 321,9/8/20,NB090820P,,"$4,650.00 ",4700-00000,1 yr Subscription 8/24/2020 to 8/31/2021,9/8/20,,,,"$4,650.00 ",10/5/20
University 318,9/8/20,NB090820Q,,$875.00 ,4700-00000,6 Mo Subscription 9/4/2020 to 2/28/2021,9/8/20,,,,$883.60 ,9/25/20
University 188,9/8/20,NB090820R,,"$15,800.00 ",4700-00000,1 yr Subscription 8/24/2020 to 8/31/2021,9/8/20,,,,"$15,800.00 ",9/22/20
University 13,9/8/20,NB090820S,,$937.50 ,4700-00000,3 Mo Subscription 9/1/2020 to 11/30/2020,9/8/20,10/14/20,,,$937.50 ,10/27/20
University 69,9/8/20,NB090820T,,"$1,710.00 ",4700-00000,1 yr Subscription 6/30/2020 to 6/30/2021,9/8/20,,,,"$1,710.00 ",9/22/20
University 92,9/8/20,NB090820U,,"$1,500.00 ",4700-00000,1 yr Subscription 12/31/2019 to 12/31/2020,9/8/20,,,,,
University 322,9/8/20,NB090820V,,$587.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 11/30/2020,9/8/20,,,,$587.00 ,9/22/20
University 262,9/8/20,NB090820W,,$375.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,9/8/20,,,,$375.00 ,10/17/20
University 231,9/8/20,NB090820X,,"$1,500.00 ",4700-00000,1 yr Subscription 7/1/2019 to 6/30/2020,9/8/20,,,,"$1,500.00 ",9/16/20
University 232,9/8/20,NB090820Y,,"$3,250.00 ",4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,9/8/20,,,,"$3,250.00 ",9/22/20
University 312,9/8/20,NB090820Z,,"$4,500.00 ",4700-00000,1 yr Subscription 9/2/2020 to 8/31/2021,9/8/20,,,,"$4,500.00 ",10/9/20
University 236,9/8/20,NB090820AA,,$290.00 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/8/2020,9/8/20,,,,$290.00 ,10/5/20
University 233,9/8/20,NB090820AB,,$208.30 ,4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,9/8/20,,,,$199.46 ,9/11/20
University 315,9/8/20,NB091120,,"$3,000.00 ",4700-00000,1 yr Subscription 9/8/2020 to 8/31/2021,9/11/20,,,,,
University 328,9/11/20,NB091120A,,$625.00 ,4700-00000,3 Mo Subscription 9/14/2020 to 12/14/2020,9/11/20,10/15/20,,,Sent for Pay,
University 332,9/11/20,NB091120B,,$512.50 ,4700-00000,3 Mo Subscription 9/14/2020 to 12/14/2020,9/11/20,,,,$512.50 ,10/6/20
University 325,9/11/20,NB091120C,,$500.00 ,4700-00000,3 Mo Subscription 9/8/2020 to 12/8/2020,9/11/20,,,,$500.00 ,10/13/20
University 119,9/11/20,NB091120D,,"$2,750.00 ",4700-00000,1 yr Subscription 9/30/2020 to 9/30/2021,9/11/20,10/15/20,,,"$2,750.00 ",10/27/20
University 329,9/11/20,NB091120E,,$500.00 ,4700-00000,3 Mo Subscription 9/10/2020 to 12/10/2020,9/11/20,,,,$500.00 ,10/5/20
University 326,9/11/20,NB091120F,,"$3,000.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/11/20,,,,"$3,000.00 ",10/9/20
University 327,9/11/20,NB091120G,,$391.00 ,4700-00000,3 Mo Subscription 9/9/2020 to 12/9/2020,9/11/20,,,,$390.89 ,9/17/20
University 175,9/11/20,NB091120H,,$875.00 ,4700-00000,3 Mo Subscription 10/1/2020 to 12/31/2020,9/11/20,10/15/20,,11/3/20,Follow Up Email Sent,
University 331,9/11/20,NB091120I,,"$4,350.00 ",4700-00000,3 yr Subscription 9/1/2020 to 10/31/2023,9/11/20,10/15/20,,,"$4,350.00 ",10/27/20
University 324,9/11/20,NB091120J,,"$1,840.00 ",4700-00000,1 yr Subscription 8/28/2020 to 8/31/2021,9/11/20,,,,"$1,840.00 ",10/17/20
University 330,9/11/20,NB091120K,,$700.00 ,4700-00000,3 Mo Subscription 9/10/2020 to 12/10/2020,9/11/20,,,,$699.82 ,9/25/20
University 179,9/11/20,NB091120L,,"$5,000.00 ",4700-00000,1 yr Subscription 9/11/2020 to 9/30/2021,9/11/20,,,,"$5,000.00 ",10/5/20
University 334,9/12/20,NB091220,,$750.00 ,4700-00000,3 Mo Subscription 9/14/2020 to 12/14/2020,9/12/20,,,,$750.00 ,10/14/20
University 334,9/12/20,NB091220A,,"$3,500.00 ",4700-00000,1 yr Subscription 9/14/2020 to 9/30/2021,9/12/20,,,,"$2,500.00 ",10/13/20
University 333,9/12/20,NB091220B,,$875.00 ,4700-00000,3 Mo Subscription 9/8/2020 to 11/8/2020,9/12/20,,,,$874.78 ,9/16/20
University 148,9/12/20,NB091220C,,"$2,000.00 ",4700-00000,1 yr Subscription 11/1/2020 to 10/31/2021,9/12/20,,,,"$1,999.51 ",9/16/20
University 196,9/13/20,NB091320,,$875.00 ,4700-00000,3 Mo Subscription 9/15/2020 to 11/30/2020,9/13/20,,,,Follow Up on 2-Nov-20,
University 9,9/13/20,NB091320A,,"$7,500.00 ",4700-00000,1 yr Subscription 8/31/2020 to 8/31/2021,9/13/20,,,,"$7,500.00 ",10/9/20
University 193,9/13/20,NB091320B,,$250.00 ,4700-00000,6 Mon Subscription 07/10/2020 to 01/10/2021,9/13/20,,,,$250.00 ,10/2/20
University 232,9/13/20,NB091320C,,$700.00 ,4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,9/13/20,,,,$700.00 ,10/17/20
University 201,9/13/20,NB091320D,,"$1,000.00 ",4700-00000,6 Mon Subscription 07/21/2020 to 01/31/2021,9/13/20,,,,"$1,000.00 ",10/5/20
University 337,9/13/20,NB091320E,,$355.00 ,4700-00000,6 Mon Subscription 09/4/2020 to 01/31/2021,9/13/20,,,,$355.00 ,10/2/20
University 336,9/13/20,NB091320F,,"$1,750.00 ",4700-00000,6 Mon Subscription 10/1/2020 to 03/31/2021,9/13/20,,,,,
