Customers,Max_of_Invoice_Date,Count_of_Invoice_#,Sum_of_Invoice_Amount,Days_Since,R_Score,F_Score,M_Score,RMF_Score,Spending Score (1-5),,Today,1/31/21,
"University of California, Riverside",2020-11-04,4,"5,750.00",88,4,4,4,444,4.44,,,,
University of Central Arkansas,2020-08-06,2,"2,000.00",178,3,2,2,322,3.22,,,,
University of Central Oklahoma,2021-01-22,2,"1,825.00",9,5,2,2,522,5.22,,,,
University of Detroit Mercy Lib,2017-05-08,2,"1,500.00",1364,1,2,1,121,1.21,,,,
University of Georgia,2020-09-21,1,"4,500.00",132,4,1,4,414,4.14,,,,
University of Guam,2020-03-26,1,250.00,311,2,1,1,211,2.11,,,,
University of Hawaii at Manoa,2020-08-20,2,"3,455.00",164,3,2,3,323,3.23,,,,
University of Holy Cross (LA),2017-06-07,1,"4,500.00",1334,1,1,4,114,1.14,,,,
University of Illinois at Urbana-Champaign,2020-09-08,1,"2,480.00",145,3,1,2,312,3.12,,,,
University of Illinois Springfield,2021-01-21,2,"2,550.00",10,5,2,3,523,5.23,,,,
University of Kentucky Libraries,2020-06-01,5,"18,800.00",244,2,5,5,255,2.55,,,,
"University of Kentucky, IHE Special Education Consortium",2020-09-13,2,"4,000.00",140,4,2,3,423,4.23,,,,
University of La Verne,2020-07-27,1,"7,000.00",188,3,1,5,315,3.15,,,,
University of Louisiana at Lafayette,2021-01-22,2,"1,762.00",9,5,2,2,522,5.22,,,,
University of Louisiana at Monroe,2020-06-02,2,"4,000.00",243,2,2,3,223,2.23,,,,
University of Louisville,2020-10-16,1,"4,500.00",107,4,1,4,414,4.14,,,,
University of Lynchburg,2020-12-21,3,"1,877.50",41,5,3,2,532,5.32,,,,
University of Maryland Baltimore County,2020-09-30,1,"2,500.00",123,4,1,2,412,4.12,,,,
University of Maryland College of Education,2020-10-01,4,"5,600.00",122,4,4,4,444,4.44,,,,
University of Michigan-Dearborn,2021-01-07,2,900.00,24,5,2,1,521,5.21,,,,
University of Minnesota Duluth,2020-09-08,1,"5,090.00",145,3,1,4,314,3.14,,,,
University of Mississippi,2016-10-31,1,"7,350.00",1553,1,1,5,115,1.15,,,,
University of Missouri Kansas City,2018-06-01,2,"12,500.00",975,1,2,5,125,1.25,,,,
University of Montevallo,2020-09-22,2,"2,250.00",131,4,2,2,422,4.22,,,,
University of NC Charlotte,2017-05-09,1,"15,750.00",1363,1,1,5,115,1.15,,,,
University of NC Greensboro,2020-08-25,5,"17,500.00",159,3,5,5,355,3.55,,,,
University of New Mexico,2020-08-17,1,"2,000.00",167,3,1,2,312,3.12,,,,
University of North Alabama,2021-01-21,7,"7,930.00",10,5,5,5,555,5.55,,,,
University of North Carolina,2017-10-11,1,"1,500.00",1208,1,1,1,111,1.11,,,,
University of North Carolina Chapel Hill,2020-07-31,1,"2,250.00",184,3,1,2,312,3.12,,,,
University of North Carolina Charlotte,2020-06-02,2,"5,625.00",243,2,2,4,224,2.24,,,,
University of North Carolina Wilmington,2020-12-08,6,"21,030.00",54,5,5,5,555,5.55,,,,
University of North Colorado,2020-06-11,1,"5,252.00",234,2,1,4,214,2.14,,,,
University of North Dakota,2020-11-19,2,"1,904.00",73,4,2,2,422,4.22,,,,
University of North Florida,2020-10-23,3,"1,575.00",100,4,3,2,432,4.32,,,,
University of North Georgia,2020-04-09,3,"5,950.00",297,2,3,4,234,2.34,,,,
University of North Texas,2020-10-02,1,"3,000.00",121,4,1,3,413,4.13,,,,
University of Pacific,2017-03-20,1,750.00,1413,1,1,1,111,1.11,,,,
University of Phoenix Inc.,2017-10-11,1,"12,500.00",1208,1,1,5,115,1.15,,,,
University of Portland,2018-01-17,1,"2,750.00",1110,1,1,3,113,1.13,,,,
University of Rhode Island (School of Education),2020-09-12,2,"4,250.00",141,4,2,4,424,4.24,,,,
University of Richmond,2020-04-15,1,"1,700.00",291,2,1,2,212,2.12,,,,
University of Rochester-Warner School,2020-10-16,1,"4,800.00",107,4,1,4,414,4.14,,,,
University of San Francisco,2020-09-21,2,"3,600.00",132,4,2,3,423,4.23,,,,
University of South Alabama,2020-04-27,1,"2,500.00",279,2,1,2,212,2.12,,,,
"University of South Carolina, Beaufort",2020-12-03,2,"2,250.00",59,5,2,2,522,5.22,,,,
"University of South Carolina, College of Education",2020-12-09,1,"4,500.00",53,5,1,4,514,5.14,,,,
University of Southern Mississippi,2020-10-13,4,"5,800.00",110,4,4,4,444,4.44,,,,
University of St. Francis,2020-06-25,1,"2,500.00",220,2,1,2,212,2.12,,,,
University of St. Thomas,2020-10-30,1,"3,366.00",93,4,1,3,413,4.13,,,,
University of Tennessee at Martin,2020-04-02,4,"4,422.50",304,2,4,4,244,2.44,,,,
University of Texas at San Antonio,2020-11-02,1,"2,500.00",90,4,1,2,412,4.12,,,,
University of Texas at Tyler,2021-01-15,1,"1,575.00",16,5,1,2,512,5.12,,,,
University of the Arts,2021-01-26,3,"1,606.00",5,5,3,2,532,5.32,,,,
University of the Cumberland,2016-06-20,1,"3,500.00",1686,1,1,3,113,1.13,,,,
University of the Pacific,2020-09-11,3,"6,250.00",142,4,3,4,434,4.34,,,,
University of Virginia,2018-03-30,2,"3,000.00",1038,1,2,3,123,1.23,,,,
University of West Alabama,2020-04-02,2,"6,362.50",304,2,2,4,224,2.24,,,,
University of West Georgia,2020-08-05,1,"3,500.00",179,3,1,3,313,3.13,,,,
University of Wisconsin Stevens Point,2020-10-15,2,"4,750.00",108,4,2,4,424,4.24,,,,
University of Wisconsin-Eau Claire,2020-09-08,1,"4,650.00",145,3,1,4,314,3.14,,,,
University of Wisconsin-Madison,2020-08-19,1,"1,680.00",165,3,1,2,312,3.12,,,,
University of Wisconsin-River Falls,2020-10-19,2,"2,962.00",104,4,2,3,423,4.23,,,,
"University of Wyoming, College of Education",2020-09-11,1,"4,350.00",142,4,1,4,414,4.14,,,,
Utah Valley University,2020-07-29,2,"14,000.00",186,3,2,5,325,3.25,,,,
Utica College,2021-01-28,2,"3,500.00",3,5,2,3,523,5.23,,,,
VA NBCT Network,2019-06-20,1,"4,500.00",591,1,1,4,114,1.14,,,,
Valdosta State University,2020-10-07,1,"1,625.00",116,4,1,2,412,4.12,,,,
Virginia Commonwealth University,2018-09-20,1,"2,700.00",864,1,1,3,113,1.13,,,,
Vitero University,2020-06-18,1,160.00,227,2,1,1,211,2.11,,,,
Walla Walla Public Schools,2020-01-13,2,"5,300.00",384,2,2,4,224,2.24,,,,
Washington County Schools,2018-04-11,1,"5,775.00",1026,1,1,4,114,1.14,,,,
Washington State University,2020-09-24,1,"2,500.00",129,4,1,2,412,4.12,,,,
West Liberty University,2020-12-03,1,"3,500.00",59,5,1,3,513,5.13,,,,
Western Carolina University,2020-03-20,1,"7,500.00",317,2,1,5,215,2.15,,,,
Western Governors University,2020-04-21,4,"102,000.00",285,2,4,5,245,2.45,,,,
Western Illinois University,2020-09-01,2,"4,000.00",152,3,2,3,323,3.23,,,,
Western Michigan University CEHD,2021-01-28,1,"1,800.00",3,5,1,2,512,5.12,,,,
Western Washington University,2021-01-04,2,"1,185.00",27,5,2,1,521,5.21,,,,
Westfield State University,2020-09-01,1,"5,500.00",152,3,1,4,314,3.14,,,,
Wheaton College,2020-09-11,1,512.50,142,4,1,1,411,4.11,,,,
William Baptist University,2021-01-15,2,"1,174.00",16,5,2,1,521,5.21,,,,
William Paterson University,2020-05-13,1,"1,900.00",263,2,1,2,212,2.12,,,,
Wingate University,2021-01-22,2,"1,250.00",9,5,2,1,521,5.21,,,,
Winston-Salem State University,2020-10-23,1,562.00,100,4,1,1,411,4.11,,,,
Winthrop University,2020-10-13,7,"6,062.50",110,4,5,4,454,4.54,,,,
Yakima Valley College,2020-09-21,1,"1,030.00",132,4,1,1,411,4.11,,,,
Young Harris College/Miller Library,2019-11-05,2,"3,350.00",453,2,2,3,223,2.23,,,,
